,,年化收益,年化波动,夏普比率,最大回撤,Calmar,最大回撤起止,累计收益,基准年化收益,年化超额收益,跟踪误差,信息比率,Beta,超额最大回撤,月度胜率(vs基准)
2016-2021,等权合成,0.007617169487028841,0.1807553447996887,0.042140770417992975,-0.3368082027190391,0.02261574814845879,2018-01-29~2018-10-18,0.046506126579296314,0.045794164365742684,-0.03650526669544718,0.10530372049433348,-0.34666644752985315,0.7883413257560408,-0.4286991926817084,0.4507042253521127
2016-2021,IC-IR加权,0.11540350049843462,0.19556804236008563,0.5900938573897995,-0.25187942549933107,0.4581696193313777,2018-01-23~2019-01-02,0.9237006980296503,0.045794164365742684,0.0665612206536923,0.09158249952244002,0.7267897360388501,0.8989010556297333,-0.20913960321207725,0.5633802816901409
2016-2021,行业市值中性(6因子),0.02394636339227363,0.18666845624063658,0.12828285975325193,-0.34448250572967154,0.06951401883689631,2017-04-13~2018-10-18,0.15229788931828936,0.045794164365742684,-0.020891110046229122,0.08703848507745589,-0.24002152642751126,0.8642993515161499,-0.41287593376372156,0.4507042253521127
2016-2021,等权合成+换仓缓冲(前100名不卖),0.011013791515714466,0.17890465926669025,0.061562351482956,-0.3250091493003331,0.03388763528480513,2018-01-26~2018-10-18,0.06781715850457348,0.045794164365742684,-0.03325737897105385,0.10577506172406774,-0.3144160677288129,0.7781200488423204,-0.40904184456559145,0.5070422535211268
2016-2021,股票池等权,0.026839105907847438,0.2104392534258054,0.1275384961261997,-0.38170111316659294,0.070314455426106,2017-10-13~2018-10-18,0.17193676241889766,0.045794164365742684,-0.018125037510981934,0.06994387411322674,-0.25913688283323727,1.0262553198073607,-0.296353790998215,0.5352112676056338
2016-2021,股票池市值加权(含股息),0.07023362408043887,0.18029841098076219,0.3895410042628317,-0.2981372274918396,0.23557482127038717,2018-01-24~2019-01-03,0.5017203635031575,0.045794164365742684,0.02336928293104279,0.026685037291528504,0.875744810686911,0.924763535823657,-0.06196953083769752,0.647887323943662
2016-2021,中证800,0.045794164365742684,0.19346112597629825,0.2367099030083859,-0.3324214955988072,0.13775933557861955,2018-01-24~2019-01-03,0.3076482642119178,0.045794164365742684,0.0,0.0,,1.0,0.0,0.0
2022-2026,等权合成,0.0873795086801521,0.16113114646635526,0.5422881335881095,-0.18600291047912465,0.46977495381696627,2024-05-22~2024-09-11,0.4768298001186051,-0.005173969011958435,0.09303483705607118,0.13524160542488559,0.6879157990160326,0.6111446768982108,-0.27469543348495484,0.5818181818181818
2022-2026,IC-IR加权,0.051696066366115234,0.16594901908446721,0.31151775799170106,-0.1917152635885847,0.26965023753692074,2025-07-24~2026-07-30,0.26440091890222717,-0.005173969011958435,0.05716580950499606,0.13290081888177588,0.43013888090372754,0.6430628528109511,-0.28512457835900684,0.6181818181818182
2022-2026,行业市值中性(6因子),0.040491325408765544,0.1728985171859801,0.23419128207566192,-0.2166845497718869,0.18686761677928812,2022-01-12~2022-04-26,0.20291178873658167,-0.005173969011958435,0.045902794054725415,0.09486517677777453,0.48387401588102813,0.8026620243763788,-0.23300742400662766,0.6363636363636364
2022-2026,等权合成+换仓缓冲(前100名不卖),0.11086804431553099,0.15924989499998837,0.6961891203478601,-0.15952979914453302,0.6949676167716178,2024-05-22~2024-09-11,0.6312817141176466,-0.005173969011958435,0.11664553370425867,0.1393739027831705,0.8369252160910551,0.5859764038439919,-0.2700632655365639,0.5818181818181818
2022-2026,股票池等权,0.030447570743145747,0.19695696040134641,0.15458997072813074,-0.3203651061738043,0.09504022178566272,2022-01-04~2024-02-05,0.14981256102895912,-0.005173969011958435,0.03580680304447359,0.05898932405276916,0.6070048033173334,1.011507607038304,-0.10139816451027028,0.5636363636363636
2022-2026,股票池市值加权(含股息),0.03621804339152357,0.16392670921916086,0.22094046518741536,-0.2494611917486408,0.14518508124509072,2022-01-04~2024-02-02,0.18008965895967832,-0.005173969011958435,0.04160728721822071,0.037880737018770386,1.0983758631096268,0.868461573569451,-0.07820250029870135,0.6909090909090909
2022-2026,中证800,-0.005173969011958435,0.18578984843598753,-0.027848502248717245,-0.36753690112531,-0.014077413713063858,2022-01-04~2024-09-13,-0.023854824039938327,-0.005173969011958435,0.0,0.0,,1.0,0.0,0.0
