,,年化收益,年化波动,夏普比率,最大回撤,Calmar,最大回撤起止,累计收益,基准年化收益,年化超额收益,跟踪误差,信息比率,Beta,超额最大回撤,月度胜率(vs基准),年均单边换手
成本,零成本,0.06452992724792694,0.1727625188999303,0.373518096742412,-0.32457712830114804,0.19881230567809757,2018-01-29~2018-10-18,0.9470925116408864,0.022821208912664037,0.04077811251059438,0.11916626315739055,0.34219510984191975,0.7164954054470473,-0.38860640314949824,0.5275590551181102,
成本,基准成本,0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.022821208912664037,0.019347603864242613,0.11937729708314233,0.16207104983092094,0.7143353078260651,-0.4286991926817084,0.5118110236220472,
成本,两倍成本,0.021103456519935726,0.17235870333814088,0.12243916965732816,-0.34884255001350517,0.06049564916641827,2018-01-29~2018-10-18,0.24923641192066115,0.022821208912664037,-0.001679425864227424,0.11988935228581514,-0.014008131933382106,0.712175210205083,-0.47566097463120693,0.5039370078740157,
持股数,Top30,0.044098371472006015,0.17498174662301058,0.2520169807597918,-0.3327799744376825,0.13251509964360558,2018-01-26~2018-10-18,0.5838104999914768,0.022821208912664037,0.02080242604859661,0.12633755541711783,0.16465750013853783,0.702812751744304,-0.43746088096194535,0.49606299212598426,
持股数,Top50,0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.022821208912664037,0.019347603864242613,0.11937729708314233,0.16207104983092094,0.7143353078260651,-0.4286991926817084,0.5118110236220472,
持股数,Top100,0.05064436287848628,0.17268278128424236,0.29327974973442056,-0.3345769224704537,0.1513683684593,2018-01-26~2018-10-18,0.6928800995522177,0.022821208912664037,0.02720236315338065,0.11061246577298374,0.245924932269475,0.7433103363639382,-0.390509461998122,0.5196850393700787,
退市持仓处理,按最后价格变现(基准),0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.022821208912664037,0.019347603864242613,0.11937729708314233,0.16207104983092094,0.7143353078260651,-0.4286991926817084,0.5118110236220472,
退市持仓处理,再折价30%,0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.022821208912664037,0.019347603864242613,0.11937729708314233,0.16207104983092094,0.7143353078260651,-0.4286991926817084,0.5118110236220472,
退市持仓处理,全额损失,0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.022821208912664037,0.019347603864242613,0.11937729708314233,0.16207104983092094,0.7143353078260651,-0.4286991926817084,0.5118110236220472,
换仓缓冲,前50名不卖,0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.022821208912664037,0.019347603864242613,0.11937729708314233,0.16207104983092094,0.7143353078260651,-0.4286991926817084,0.5118110236220472,5.985303007536869
换仓缓冲,前100名不卖,0.05440298065881444,0.17060704220935055,0.3188788689745701,-0.325009149300333,0.1673890743566175,2018-01-26~2018-10-18,0.7585391630372937,0.022821208912664037,0.03087711857258424,0.12168224246704008,0.25375205080517715,0.6978696880042403,-0.40904184456559145,0.5433070866141733,3.368364802300544
换仓缓冲,前150名不卖,0.05366046002357838,0.1706990171665624,0.31435717038264077,-0.33221100971835626,0.16152523081360534,2018-01-26~2018-10-18,0.745388110274998,0.022821208912664037,0.030151165073804664,0.12250996803048651,0.24611193324531414,0.6955072872062156,-0.40281362339937654,0.5354330708661418,2.3779218687194867
