,名单股数,有行情数据,剔除ST,剔除停牌,剔除新股,最终股票池,有效总分股数
2015-12-31,800,800,0,57,0,743,743
2016-01-29,800,800,0,50,1,749,749
2016-02-29,800,800,0,57,1,742,742
2016-03-31,800,800,0,54,1,745,745
2016-04-29,800,800,2,55,1,742,742
2016-05-31,800,800,6,42,1,751,751
2016-06-30,800,800,0,35,0,765,765
2016-07-29,800,800,0,35,0,765,765
2016-08-31,800,800,0,32,0,768,768
2016-09-30,800,800,0,44,0,756,756
2016-10-31,800,800,0,33,0,767,767
2016-11-30,800,800,0,45,0,755,755
2016-12-30,800,800,0,42,0,758,758
2017-01-26,800,800,0,43,0,757,757
2017-02-28,800,800,0,48,0,752,752
2017-03-31,800,800,0,44,0,756,756
2017-04-28,800,800,2,49,0,749,749
2017-05-31,800,800,3,47,0,750,750
2017-06-30,800,800,0,42,7,751,751
2017-07-31,800,800,0,45,0,755,755
2017-08-31,800,800,0,42,0,758,758
2017-09-29,800,800,0,36,0,764,764
2017-10-31,800,800,0,37,0,763,763
2017-11-30,800,800,0,47,0,753,753
2017-12-29,800,800,2,42,0,756,756
2018-01-31,800,800,2,49,0,749,749
2018-02-28,800,800,2,51,0,747,747
2018-03-30,800,800,3,47,0,750,750
2018-04-27,800,800,4,44,0,752,752
2018-05-31,800,800,6,49,0,745,745
2018-06-29,800,800,0,46,4,750,749
2018-07-31,800,800,0,36,1,763,762
2018-08-31,800,800,1,26,0,773,773
2018-09-28,800,800,1,26,0,773,773
2018-10-31,800,800,1,22,0,777,777
2018-11-30,800,800,0,5,0,795,795
2018-12-28,800,800,1,4,1,794,794
2019-01-31,800,800,2,0,1,797,797
2019-02-28,800,800,2,2,1,795,795
2019-03-29,800,800,2,4,1,793,793
2019-04-30,800,800,8,4,1,787,787
2019-05-31,800,800,10,4,1,785,785
2019-06-28,800,800,1,0,5,794,794
2019-07-31,800,800,1,1,0,798,798
2019-08-30,800,800,1,0,0,799,799
2019-09-30,800,800,1,1,0,798,798
2019-10-31,800,800,1,1,0,798,798
2019-11-29,800,800,1,2,0,797,797
2019-12-31,800,800,0,1,3,796,796
2020-01-23,800,800,0,0,0,800,800
2020-02-28,800,800,0,0,0,800,800
2020-03-31,800,800,0,2,0,798,798
2020-04-30,800,800,4,3,0,793,793
2020-05-29,800,800,6,1,0,793,793
2020-06-30,800,800,0,2,1,797,797
2020-07-31,800,800,1,3,0,796,796
2020-08-31,800,800,0,0,0,800,800
2020-09-30,800,800,0,3,0,797,797
2020-10-30,800,800,0,1,0,799,799
2020-11-30,800,800,0,1,0,799,799
2020-12-31,800,800,0,1,1,798,798
2021-01-29,800,800,0,2,0,798,798
2021-02-26,800,800,2,1,0,797,797
2021-03-31,800,800,0,3,0,797,797
2021-04-30,800,800,0,3,0,797,797
2021-05-31,800,800,2,0,0,798,798
2021-06-30,800,800,2,3,0,795,795
2021-07-30,800,800,0,1,0,799,799
2021-08-31,800,800,1,1,0,798,798
2021-09-30,799,799,0,2,0,797,797
2021-10-29,800,800,0,0,1,799,799
2021-11-30,800,800,0,3,1,796,796
2021-12-31,800,800,0,1,1,798,798
2022-01-28,800,800,0,1,2,797,797
2022-02-28,800,800,0,2,1,797,797
2022-03-31,800,800,0,1,0,799,799
2022-04-29,800,800,0,1,0,799,799
2022-05-31,800,800,1,2,0,797,797
2022-06-30,800,800,0,1,3,796,796
2022-07-29,800,800,0,0,0,800,800
2022-08-31,800,800,0,0,0,800,800
2022-09-30,800,800,0,1,0,799,799
2022-10-31,800,800,0,0,0,800,800
2022-11-30,800,800,0,0,0,800,800
2022-12-30,800,800,0,2,0,798,798
2023-01-31,800,800,0,0,0,800,800
2023-02-28,800,800,0,0,0,800,800
2023-03-31,800,800,0,0,0,800,800
2023-04-28,800,800,0,1,0,799,799
2023-05-31,800,800,1,1,0,798,798
2023-06-30,800,800,0,1,0,799,799
2023-07-31,800,800,0,1,0,799,799
2023-08-31,800,800,0,0,0,800,800
2023-09-28,800,800,0,0,0,800,800
2023-10-31,800,800,0,0,0,800,800
2023-11-30,800,800,0,0,0,800,800
2023-12-29,800,800,0,0,0,800,800
2024-01-31,800,800,0,0,0,800,800
2024-02-29,800,800,0,0,0,800,800
2024-03-29,800,800,0,0,0,800,800
2024-04-30,800,800,0,2,0,798,798
2024-05-31,800,800,1,0,0,799,799
2024-06-28,800,800,0,0,0,800,800
2024-07-31,800,800,0,2,0,798,798
2024-08-30,800,800,0,1,0,799,799
2024-09-30,800,800,0,3,0,797,797
2024-10-31,800,800,0,2,0,798,798
2024-11-29,800,800,0,1,0,799,799
2024-12-31,800,800,0,1,0,799,799
2025-01-27,800,800,0,0,0,800,800
2025-02-28,800,800,0,2,0,798,798
2025-03-31,800,800,0,0,0,800,800
2025-04-30,800,800,0,0,0,800,800
2025-05-30,800,800,0,2,0,798,798
2025-06-30,800,800,0,0,1,799,799
2025-07-31,800,800,0,1,0,799,799
2025-08-29,800,800,0,2,0,798,798
2025-09-30,800,800,0,1,0,799,799
2025-10-31,800,800,0,0,0,800,800
2025-11-28,800,800,0,3,0,797,797
2025-12-31,800,800,1,2,2,795,795
2026-01-30,800,800,0,0,0,800,800
2026-02-27,800,800,0,2,0,798,798
2026-03-31,800,800,0,1,0,799,799
2026-04-30,800,800,0,1,0,799,799
2026-05-29,800,800,0,0,0,800,800
2026-06-30,800,800,0,1,1,798,798
2026-07-31,800,800,0,0,0,800,800
2026-08-31,800,800,0,0,0,800,800
